timestamp_utc,balance_eth
2026-01-12T04:33:19.522998,10774.427402062515397821
2026-01-12T04:33:29.708798,10774.427402062515397821
2026-01-12T04:33:39.886020,10774.427402062515397821
2026-01-12T04:33:50.336169,10774.427402062515397821
2026-01-12T04:34:00.522620,10774.427402062515397821
2026-01-12T04:34:10.730173,10774.427402062515397821
2026-01-12T04:34:20.899009,10774.427402062515397821
2026-01-12T04:34:31.395002,10774.427402062515397821
2026-01-12T04:34:41.579582,10774.427402062515397821
2026-01-12T04:34:51.765253,10774.427402062515397821
2026-01-12T04:35:01.954407,10774.427402062515397821
2026-01-12T04:35:12.145937,10774.427402062515397821
2026-01-12T04:35:22.339300,10774.427402062515397821
2026-01-12T04:35:32.527375,10774.427402062515397821
2026-01-12T04:35:42.716646,10774.427402062515397821
2026-01-12T04:35:52.893905,10774.427402062515397821
2026-01-12T04:36:03.092456,10774.427402062515397821
2026-01-12T04:36:13.285751,10774.427402062515397821
2026-01-12T04:36:23.457071,10774.427402062515397821
2026-01-12T04:36:33.645956,10774.427402062515397821
2026-01-12T04:36:44.391244,10774.427402062515397821
2026-01-12T04:37:42.886949,10774.427402062515397821
2026-01-12T04:37:53.067742,10774.427402062515397821
2026-01-12T04:38:03.248920,10774.427402062515397821
2026-01-12T04:38:13.431913,10774.427402062515397821
2026-01-12T04:54:14.797712,10774.427402062515397821
2026-01-12T04:54:24.963639,10774.427402062515397821
2026-01-12T04:54:35.130154,10774.427402062515397821
2026-01-12T04:54:45.296144,10774.427402062515397821
2026-01-12T04:54:55.464339,10774.427402062515397821
2026-01-12T04:55:05.625858,10774.427402062515397821
2026-01-12T04:55:15.792604,10774.427402062515397821
2026-01-12T04:55:25.956681,10774.427402062515397821
